Раздел,Ссылка на раздел,Имя категории,Ссылка на категорию,Ссылка на изображение,Название продукта,Ссылка на изображение продукта,Артикуль,Код,Производитель,Доступность,Цена
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный Камаз (350 л) 1050*540*640 (комплект установочный ЕВРО) с низкой горловиной с полуоборотной крышкой (ООО КМЗ),https://sxstatic.ru/main/img/good/s/photosession.jpg, КМЗ5464-1101350-004, 000832747,КМЗ,2 шт,19 830
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный Камаз 500 л (разнесенный топливозаборник) комплект (ПАО Камаз),https://sxstatic.ru/main/img/good/s/photosession.jpg, 53215-1100009-24, 000755847,Камаз,2 шт,42 620
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный Камаз 350 л (совмещенный топливозаборник) комплект (ПАО Камаз),https://sxstatic.ru/images/s/000755914/000755914_1-116.jpg, 53215-1100009-15, 000755914,Камаз,2 шт,34 140
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный КАМАЗ 350л 650*530*1150 (голый) (БАКОР),https://sxstatic.ru/images/s/000025341/000025341_1-116.jpg, Б53215-1101010-12, 000025341,Бакор,2 шт,12 744
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный Камаз (350 л) 1150х530х650 (голый) с низкой горловиной с полуоборотной крышкой (ООО КМЗ),https://sxstatic.ru/images/s/000845597/000845597_1-116.jpg, КМЗ5365-1101350-001, 000845597,КМЗ,2 шт,12 900
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,"Бак топливный УАЗ-469 (39 л) 220х210х930 правый, крупная резьба Б469-1101008-11 (БАКОР)",https://sxstatic.ru/images/s/000014511/000014511_1-116.jpg, 31512-1101008-03, 000014511,Бакор,2 шт,7 052
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный КАМАЗ 350л с полуоборотной крышкой 650*530*1150 (комплект с установкой) (БАКОР),https://sxstatic.ru/images/s/000020911/000020911_1-116.jpg, Б53215-1101010-12К1, 000020911,Бакор,1 шт,17 205
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,Бак топливный Камаз (125 л) 710*400*490 (голый) с низкой горловиной с полуоборотной крышкой (ООО КМЗ),https://sxstatic.ru/main/img/good/s/photosession.jpg, КМЗ4049-1101125-001, 000832596,КМЗ,1 шт,8 445
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,"Бак топливный Камаз (250 л) 750*540*640 (комплект установочный) с низкой горловиной, с полуоборотной крышкой (ООО КМЗ)",https://sxstatic.ru/images/s/000832617/000832617_1-116.jpg, КМЗ5464-1101250-001, 000832617,КМЗ,1 шт,16 140
КамАЗ,/catalog/kamaz,Бак,/catalog/kamaz/bak,https://sxstatic.ru/keywords/bak/bak.jpg,"Бак топливный Камаз (210 л) 1160*400*490 (комплект установочный) с низкой горловиной, с полуоборотной крышкой (ООО КМЗ)",https://sxstatic.ru/images/s/000832622/000832622_1-116.jpg, КМЗ4049-1101210-001СБ, 000832622,КМЗ,1 шт,14 480
